t,theta,omega,u,reward
0.005,-0.0004771583256460778,0.0010808202497924481,0.0,2.3003285426339697e-11
0.01,0.000722652137399446,0.00030980628016342835,0.0,2.3003274137025497e-11
0.015,0.0003311007366564126,-0.00010958443769377991,0.0,2.300326290273712e-11
0.02,-0.0006543464323574542,0.0005597563598997985,0.0,2.3003251636309737e-11
0.025,-0.00013631993228244155,-0.0004533756919077088,0.0,2.300324040725712e-11
0.030000000000000002,-0.0006796639519804867,-0.001659122872786674,0.0,2.3003229119055787e-11
0.035,-0.0007529922095885371,-8.820503072800265e-05,0.0,2.300321790380024e-11
0.04,0.0010932443145208043,0.0005967674224949512,0.0,2.300320661782646e-11
0.045,-0.0016801600975998674,-0.000716415824543704,0.0,2.300319540487783e-11
0.049999999999999996,-0.00018561566368622602,-0.0005015741820071187,0.0,2.300318412151562e-11
0.05499999999999999,0.0012901668906346963,-5.595668836382209e-05,0.0,2.30031729110653e-11
0.05999999999999999,0.0011804158959685214,-0.001259462977778984,0.0,2.300316162984196e-11
0.06499999999999999,-0.0012707809398107824,-0.00018308250263806354,0.0,2.3003150421662504e-11
0.06999999999999999,0.0009387019091270485,-0.0005688951175587481,0.0,2.3003139143144294e-11
0.075,0.000981130343091598,-0.001323628095392772,0.0,2.3003127937267486e-11
0.08,0.0010139393012341415,-0.0009391121122275078,0.0,2.3003116661130444e-11
0.085,0.00040029125859571477,-0.0004771564429402212,0.0,2.300310545770452e-11
0.09000000000000001,-0.0012988587798633995,-0.3689775436955834,-2.8499999999999996,2.3336950737490676e-11
0.09500000000000001,-0.005404213062777489,-0.7333995394235653,-2.8499999999999996,2.4362809370250407e-11
0.10000000000000002,-0.009059094290122858,-1.0949542100250353,-2.8499999999999996,2.616142025073336e-11
0.10500000000000002,-0.013467915466938795,-1.4486104738563772,-2.8499999999999996,2.888099322563744e-11
0.11000000000000003,-0.02187980522495265,-1.7979596760193113,-2.8499999999999996,3.275587407155699e-11
0.11500000000000003,-0.030433308189900914,-2.1361246318032086,-2.8499999999999996,3.813710578604787e-11
0.12000000000000004,-0.04671716856225278,-2.465871629251764,-2.8499999999999996,4.553986249349289e-11
0.12500000000000003,-0.057429919040912596,-2.78565391439739,-2.8499999999999996,5.5715650345136444e-11
0.13000000000000003,-0.07200054902165905,-3.0973164882337896,-2.8499999999999996,6.976153089903247e-11
0.13500000000000004,-0.0892015874634355,-3.3955559285939185,-2.8499999999999996,8.928522765112979e-11
0.14000000000000004,-0.10574907179556975,-3.6798556800413413,-2.8499999999999996,1.1665502286641006e-10
