t,theta,omega,u,reward
0.005,-0.00040758910472504795,-0.0004915879690088332,0.0,-0.6020388605838481
0.01,-0.0013495818711817265,-0.0006708518485538661,0.0,-0.6020538581219832
0.015,-0.0020775706507265568,0.0008905872819013894,0.0,-0.6020430980346195
0.02,6.320107786450535e-05,-0.0005567243206314743,0.0,-0.6020332455975728
0.025,-0.0011262305779382586,0.0003126295341644436,0.0,-0.6020380987840915
0.030000000000000002,-0.0005844609113410115,7.821046892786399e-05,0.0,-0.6020338567185769
0.035,-0.0017950787441805005,0.00032857677433639765,0.0,-0.6020467339382147
0.04,-0.0017936286749318242,0.001853328780271113,0.0,-0.6020268767949163
0.045,-0.0009057815768755972,-3.579939584597014e-05,0.0,-0.602039679263468
0.049999999999999996,-0.0010944383684545755,0.0005813478492200375,0.0,-0.6020341776458835
0.05499999999999999,-0.00059110316215083,9.053530084202066e-05,0.0,-0.6020337864786446
0.05999999999999999,0.0008336338796652853,0.002031576121225953,0.0,-0.601988825261189
0.06499999999999999,-0.0026021464727818966,-0.3673965632915497,-2.8499999999999996,0.030692370902916072
0.06999999999999999,-0.005736303050071001,-0.7333119511604309,-2.8499999999999996,0.08830191940137413
0.075,-0.00802138727158308,-1.0945419073104858,-2.8499999999999996,0.14377087219885187
0.08,-0.013983232900500298,-1.4482030868530273,-2.8499999999999996,0.19449124018536124
0.085,-0.02167818509042263,-1.7948341369628906,-2.8499999999999996,0.24166700706135746
0.09000000000000001,-0.033254243433475494,-2.1354072093963623,-2.8499999999999996,0.28454529917492394
0.09500000000000001,-0.044117946177721024,-2.4653682708740234,-2.8499999999999996,0.32484372669024464
0.10000000000000002,-0.057417500764131546,-2.7836718559265137,-2.8499999999999996,0.36109986241573877
0.10500000000000002,-0.07322073727846146,-3.0962555408477783,-2.8499999999999996,0.39425305678713574
0.11000000000000003,-0.08933276683092117,-3.3912813663482666,-2.8499999999999996,0.4239592324693797
0.11500000000000003,-0.10570118576288223,-3.6766157150268555,-2.8499999999999996,0.4513957614459322
0.12000000000000004,-0.12454527616500854,-3.9469592571258545,-2.8499999999999996,0.47513398514641214
0.12500000000000003,-0.1467360109090805,-4.204766750335693,-2.8499999999999996,0.4953316103627107
0.13000000000000003,-0.16739031672477722,-4.443700313568115,-2.8499999999999996,0.5134762920402098
0.13500000000000004,-0.19061218202114105,-4.669449329376221,-2.8499999999999996,0.5287100557126265
0.14000000000000004,-0.21359342336654663,-4.88074254989624,-2.8499999999999996,0.5421549240502639
0.14500000000000005,-0.23976187407970428,-5.073294162750244,-2.8499999999999996,0.5522392493056529
0.15000000000000005,-0.26530733704566956,-5.250295639038086,-2.8499999999999996,0.5608632445678174
0.15500000000000005,-0.29207566380500793,-5.407415390014648,-2.8499999999999996,0.5670576544865404
0.16000000000000006,-0.31884831190109253,-5.548264503479004,-2.8499999999999996,0.5717202189119901
0.16500000000000006,-0.346526175737381,-5.671755313873291,-2.8499999999999996,0.5745428693770148
0.17000000000000007,-0.3749222159385681,-5.776774883270264,-2.8499999999999996,0.5755810051365557
0.17500000000000007,-0.40603211522102356,-5.864914417266846,-2.8499999999999996,0.5744837256988997
0.18000000000000008,-0.43289074301719666,-5.931811332702637,-2.8499999999999996,0.5729402394747282
0.18500000000000008,-0.46266263723373413,-5.985097885131836,-2.8499999999999996,0.5696068053654331
0.19000000000000009,-0.49421730637550354,-6.017582893371582,-2.8499999999999996,0.5642300526338262
0.1950000000000001,-0.5239679217338562,-6.035447597503662,-2.8499999999999996,0.5583223083578295
0.2000000000000001,-0.554421603679657,-6.035492420196533,-2.8499999999999996,0.5509278982705592
0.2050000000000001,-0.5840439200401306,-6.019735813140869,-2.8499999999999996,0.5425795811867007
0.2100000000000001,-0.6131861805915833,-5.985553741455078,-2.8499999999999996,0.5329002880743319
0.2150000000000001,-0.644434928894043,-5.9395527839660645,-2.8499999999999996,0.5219035571240795
0.2200000000000001,-0.6749099493026733,-5.8765411376953125,-2.8499999999999996,0.5096895464434421
0.22500000000000012,-0.70469731092453,-5.797765254974365,-2.8499999999999996,0.49627195890475057
0.23000000000000012,-0.7326719760894775,-5.710556507110596,-2.8499999999999996,0.48248766327850345
0.23500000000000013,-0.7598373889923096,-5.606011867523193,-2.8499999999999996,0.4671835054241312
0.24000000000000013,-0.7877981066703796,-5.488422393798828,-2.8499999999999996,0.45040618164331514
0.24500000000000013,-0.8146644234657288,-5.362800598144531,-2.8499999999999996,0.43292371940440966
0.2500000000000001,-0.8418289422988892,-5.2230048179626465,-2.8499999999999996,0.41378506640193385
0.2550000000000001,-0.8683764338493347,-5.074148654937744,-2.8499999999999996,0.3935911328855588
0.2600000000000001,-0.8918832540512085,-4.919262886047363,-2.8499999999999996,0.3729648330827997
0.2650000000000001,-0.9161593914031982,-4.751453876495361,-2.8499999999999996,0.350473844037398
0.27000000000000013,-0.9392619132995605,-4.5759382247924805,-2.8499999999999996,0.3269080190529337
0.27500000000000013,-0.9624468684196472,-4.392194747924805,-2.8499999999999996,0.30194945151851105
0.28000000000000014,-0.9834587574005127,-4.202215194702148,-2.8499999999999996,0.2760792268113996
